file,model,type,dataset,detected_count,time_ns,first_x,first_y,first_w,first_h
1187019.jpg,16STAGES,Brazil,DS1,1,338796800,2352,1466,632,158
1187019_labelled.jpg,16STAGES,Brazil,DS1,1,195202300,1988,1568,179,45
1792023.jpg,16STAGES,Brazil,DS1,1,127117600,1532,1202,167,42
1792023_labelled.jpg,16STAGES,Brazil,DS1,1,229563900,1532,1202,167,42
2114000.jpg,16STAGES,Brazil,DS1,4,157193400,3507,1339,246,62
2114000_labelled.jpg,16STAGES,Brazil,DS1,3,171358700,3510,1344,243,61
2148000.jpg,16STAGES,Brazil,DS1,0,127286800,0,0,0,0
2148000_labelled.jpg,16STAGES,Brazil,DS1,1,112143500,1470,1992,192,48
2154018.jpg,16STAGES,Brazil,DS1,0,125157000,0,0,0,0
2154018_labelled.jpg,16STAGES,Brazil,DS1,1,152547100,994,1224,243,61
2601032.jpg,16STAGES,Brazil,DS1,2,142555700,1969,1732,243,61
2601032_labelled.jpg,16STAGES,Brazil,DS1,1,134726100,2304,808,267,67
3069000.jpg,16STAGES,Brazil,DS1,1,121751400,1338,851,151,38
3069000_labelled.jpg,16STAGES,Brazil,DS1,1,146525400,1338,851,151,38
398000.jpg,16STAGES,Brazil,DS1,0,122211600,0,0,0,0
398000_labelled.jpg,16STAGES,Brazil,DS1,0,131663900,0,0,0,0
4396025.jpg,16STAGES,Brazil,DS1,1,121398200,186,366,137,34
4396025_labelled.jpg,16STAGES,Brazil,DS1,1,129779100,186,366,137,34
7471000.jpg,16STAGES,Brazil,DS1,1,113085400,1370,1980,317,80
7471000_labelled.jpg,16STAGES,Brazil,DS1,1,117562700,1370,1980,317,80
0003596.jpg,16STAGES,Estonia,DS1,0,19204100,0,0,0,0
0003596_labelled.jpg,16STAGES,Estonia,DS1,0,29933000,0,0,0,0
0011641.jpg,16STAGES,Estonia,DS1,0,27527100,0,0,0,0
0011641_labelled.jpg,16STAGES,Estonia,DS1,0,27242800,0,0,0,0
0012359.jpg,16STAGES,Estonia,DS1,0,27465800,0,0,0,0
0012359_labelled.jpg,16STAGES,Estonia,DS1,0,33389200,0,0,0,0
0016133.jpg,16STAGES,Estonia,DS1,0,45134000,0,0,0,0
0016133_labelled.jpg,16STAGES,Estonia,DS1,0,40737000,0,0,0,0
0019254.jpg,16STAGES,Estonia,DS1,1,29096300,993,1033,147,37
0019254_labelled.jpg,16STAGES,Estonia,DS1,2,29151200,997,1032,146,37
0019637.jpg,16STAGES,Estonia,DS1,0,25847300,0,0,0,0
0019637_labelled.jpg,16STAGES,Estonia,DS1,0,25154800,0,0,0,0
0023723.jpg,16STAGES,Estonia,DS1,0,21278000,0,0,0,0
0023723_labelled.jpg,16STAGES,Estonia,DS1,0,22363500,0,0,0,0
0036972.jpg,16STAGES,Estonia,DS1,0,15832300,0,0,0,0
0036972_labelled.jpg,16STAGES,Estonia,DS1,0,16266300,0,0,0,0
0039854.jpg,16STAGES,Estonia,DS1,0,27593000,0,0,0,0
0039854_labelled.jpg,16STAGES,Estonia,DS1,0,20625800,0,0,0,0
0042707.jpg,16STAGES,Estonia,DS1,0,14624200,0,0,0,0
0042707_labelled.jpg,16STAGES,Estonia,DS1,0,13013400,0,0,0,0
0001268.jpg,16STAGES,Finland,DS1,0,8624200,0,0,0,0
0001268_labelled.jpg,16STAGES,Finland,DS1,0,9484700,0,0,0,0
0001281.jpg,16STAGES,Finland,DS1,1,27968400,405,627,244,61
0001281_labelled.jpg,16STAGES,Finland,DS1,1,32491700,464,194,401,100
0003059.jpg,16STAGES,Finland,DS1,0,57331200,0,0,0,0
0003059_labelled.jpg,16STAGES,Finland,DS1,0,54145300,0,0,0,0
0004802.jpg,16STAGES,Finland,DS1,0,26748000,0,0,0,0
0004802_labelled.jpg,16STAGES,Finland,DS1,0,25850800,0,0,0,0
0006835.jpg,16STAGES,Finland,DS1,0,18788300,0,0,0,0
0006835_labelled.jpg,16STAGES,Finland,DS1,0,19564900,0,0,0,0
0007436.jpg,16STAGES,Finland,DS1,1,26744600,310,780,233,58
0007436_labelled.jpg,16STAGES,Finland,DS1,0,24885000,0,0,0,0
0008416.jpg,16STAGES,Finland,DS1,0,23276900,0,0,0,0
0008416_labelled.jpg,16STAGES,Finland,DS1,0,26059000,0,0,0,0
0009654.jpg,16STAGES,Finland,DS1,1,47265000,1443,390,243,61
0009654_labelled.jpg,16STAGES,Finland,DS1,1,53710000,1443,388,243,61
0015069.jpg,16STAGES,Finland,DS1,0,15362000,0,0,0,0
0015069_labelled.jpg,16STAGES,Finland,DS1,0,17179700,0,0,0,0
0018232.jpg,16STAGES,Finland,DS1,0,25314200,0,0,0,0
0018232_labelled.jpg,16STAGES,Finland,DS1,0,22024600,0,0,0,0
105000_labelled.jpg,16STAGES,for_notebook,DS1,0,135554200,0,0,0,0
15974400_labelled.jpg,16STAGES,for_notebook,DS1,0,17641500,0,0,0,0
11160149_labelled.jpg,16STAGES,for_notebook,DS1,0,33586900,0,0,0,0
1440000_labelled.jpg,16STAGES,for_notebook,DS1,1,98140800,1381,1196,132,33
1042000_labelled.jpg,16STAGES,for_notebook,DS1,0,15410800,0,0,0,0
1187019_labelled.jpg,16STAGES,for_notebook,DS1,1,132588900,1988,1568,179,45
14649600_labelled.jpg,16STAGES,for_notebook,DS1,0,17356800,0,0,0,0
128000_labelled.jpg,16STAGES,for_notebook,DS1,2,38199700,1214,574,150,37
10070000_labelled.jpg,16STAGES,for_notebook,DS1,0,17280800,0,0,0,0
13617920_labelled.jpg,16STAGES,for_notebook,DS1,0,14547500,0,0,0,0
1075200_labelled.jpg,16STAGES,for_notebook,DS1,0,47914400,0,0,0,0
107007_labelled.jpg,16STAGES,for_notebook,DS1,0,135201600,0,0,0,0
100000_labelled.jpg,16STAGES,for_notebook,DS1,0,134878400,0,0,0,0
11550720_labelled.jpg,16STAGES,for_notebook,DS1,0,16512800,0,0,0,0
1195000_labelled.jpg,16STAGES,for_notebook,DS1,1,100292700,358,1968,226,56
10109440_labelled.jpg,16STAGES,for_notebook,DS1,0,15602000,0,0,0,0
12165120_labelled.jpg,16STAGES,for_notebook,DS1,0,16971000,0,0,0,0
1024000_labelled.jpg,16STAGES,for_notebook,DS1,0,15465100,0,0,0,0
12968640_labelled.jpg,16STAGES,for_notebook,DS1,0,15194000,0,0,0,0
105300195_labelled.jpg,16STAGES,for_notebook,DS1,0,16376100,0,0,0,0
12600588_labelled.jpg,16STAGES,for_notebook,DS1,1,36772500,705,860,144,36
11520000_labelled.jpg,16STAGES,for_notebook,DS1,0,15553100,0,0,0,0
108072960_labelled.jpg,16STAGES,for_notebook,DS1,0,14631000,0,0,0,0
150025_labelled.jpg,16STAGES,for_notebook,DS1,0,96668700,0,0,0,0
10122240_labelled.jpg,16STAGES,for_notebook,DS1,0,33500100,0,0,0,0
3a__aa__04df82ac4bb6b13334f84f5e818f_labelled.jpg,16STAGES,for_notebook,DS1,0,6466300,0,0,0,0
04629_labelled.jpg,16STAGES,for_notebook,DS1,3,50334500,210,280,157,39
