file,type,dataset,detected_count,time_ns,first_x,first_y,first_w,first_h
1187019.jpg,Brazil,DS1,1,437332800,2352,1466,632,158
1187019_labelled.jpg,Brazil,DS1,1,182508600,1988,1568,179,45
1792023.jpg,Brazil,DS1,1,201888300,1532,1202,167,42
1792023_labelled.jpg,Brazil,DS1,1,184418000,1532,1202,167,42
2114000.jpg,Brazil,DS1,4,248969400,1409,1207,134,33
2114000_labelled.jpg,Brazil,DS1,3,169160500,3510,1344,243,61
2148000.jpg,Brazil,DS1,0,163337100,0,0,0,0
2148000_labelled.jpg,Brazil,DS1,1,145471000,1470,1992,192,48
2154018.jpg,Brazil,DS1,0,233029800,0,0,0,0
2154018_labelled.jpg,Brazil,DS1,1,193678000,994,1224,243,61
2601032.jpg,Brazil,DS1,2,195471100,2303,808,267,67
2601032_labelled.jpg,Brazil,DS1,1,284319100,2304,808,267,67
3069000.jpg,Brazil,DS1,1,239239600,1338,851,151,38
3069000_labelled.jpg,Brazil,DS1,1,233783700,1338,851,151,38
398000.jpg,Brazil,DS1,0,217723200,0,0,0,0
398000_labelled.jpg,Brazil,DS1,0,254695200,0,0,0,0
4396025.jpg,Brazil,DS1,1,173908400,186,366,137,34
4396025_labelled.jpg,Brazil,DS1,1,226031400,186,366,137,34
7471000.jpg,Brazil,DS1,1,211951000,1370,1980,317,80
7471000_labelled.jpg,Brazil,DS1,1,156487400,1370,1980,317,80
0003596.jpg,Estonia,DS1,0,26267000,0,0,0,0
0003596_labelled.jpg,Estonia,DS1,0,23267900,0,0,0,0
0011641.jpg,Estonia,DS1,0,42352600,0,0,0,0
0011641_labelled.jpg,Estonia,DS1,0,35598500,0,0,0,0
0012359.jpg,Estonia,DS1,0,47347400,0,0,0,0
0012359_labelled.jpg,Estonia,DS1,0,35533100,0,0,0,0
0016133.jpg,Estonia,DS1,0,65361700,0,0,0,0
0016133_labelled.jpg,Estonia,DS1,0,97002800,0,0,0,0
0019254.jpg,Estonia,DS1,1,68502100,993,1033,147,37
0019254_labelled.jpg,Estonia,DS1,2,61830100,985,326,370,93
0019637.jpg,Estonia,DS1,0,28467600,0,0,0,0
0019637_labelled.jpg,Estonia,DS1,0,36323400,0,0,0,0
0023723.jpg,Estonia,DS1,0,31315100,0,0,0,0
0023723_labelled.jpg,Estonia,DS1,0,40531200,0,0,0,0
0036972.jpg,Estonia,DS1,0,18806800,0,0,0,0
0036972_labelled.jpg,Estonia,DS1,0,19059600,0,0,0,0
0039854.jpg,Estonia,DS1,0,19195300,0,0,0,0
0039854_labelled.jpg,Estonia,DS1,0,20383000,0,0,0,0
0042707.jpg,Estonia,DS1,0,13498600,0,0,0,0
0042707_labelled.jpg,Estonia,DS1,0,11801500,0,0,0,0
0001268.jpg,Finland,DS1,0,9448500,0,0,0,0
0001268_labelled.jpg,Finland,DS1,0,7941200,0,0,0,0
0001281.jpg,Finland,DS1,1,31702600,405,627,244,61
0001281_labelled.jpg,Finland,DS1,1,36560400,464,194,401,100
0003059.jpg,Finland,DS1,0,66827000,0,0,0,0
0003059_labelled.jpg,Finland,DS1,0,101042000,0,0,0,0
0004802.jpg,Finland,DS1,0,37859600,0,0,0,0
0004802_labelled.jpg,Finland,DS1,0,57127900,0,0,0,0
0006835.jpg,Finland,DS1,0,37123900,0,0,0,0
0006835_labelled.jpg,Finland,DS1,0,39393500,0,0,0,0
0007436.jpg,Finland,DS1,1,56704100,310,780,233,58
0007436_labelled.jpg,Finland,DS1,0,52293500,0,0,0,0
0008416.jpg,Finland,DS1,0,44672100,0,0,0,0
0008416_labelled.jpg,Finland,DS1,0,38994700,0,0,0,0
0009654.jpg,Finland,DS1,1,91375800,1443,390,243,61
0009654_labelled.jpg,Finland,DS1,1,162759500,1443,388,243,61
0015069.jpg,Finland,DS1,0,86345200,0,0,0,0
0015069_labelled.jpg,Finland,DS1,0,91549800,0,0,0,0
0018232.jpg,Finland,DS1,0,63856500,0,0,0,0
0018232_labelled.jpg,Finland,DS1,0,40346600,0,0,0,0
105000_labelled.jpg,for_notebook,DS1,0,238443100,0,0,0,0
15974400_labelled.jpg,for_notebook,DS1,0,21231000,0,0,0,0
11160149_labelled.jpg,for_notebook,DS1,0,40721200,0,0,0,0
1440000_labelled.jpg,for_notebook,DS1,1,152929700,1381,1196,132,33
1042000_labelled.jpg,for_notebook,DS1,0,25049400,0,0,0,0
1187019_labelled.jpg,for_notebook,DS1,1,212318900,1988,1568,179,45
14649600_labelled.jpg,for_notebook,DS1,0,36333500,0,0,0,0
128000_labelled.jpg,for_notebook,DS1,2,68973800,1214,574,150,37
10070000_labelled.jpg,for_notebook,DS1,0,27897200,0,0,0,0
13617920_labelled.jpg,for_notebook,DS1,0,24475900,0,0,0,0
1075200_labelled.jpg,for_notebook,DS1,0,54814100,0,0,0,0
107007_labelled.jpg,for_notebook,DS1,0,144019700,0,0,0,0
100000_labelled.jpg,for_notebook,DS1,0,256930600,0,0,0,0
11550720_labelled.jpg,for_notebook,DS1,0,19474800,0,0,0,0
1195000_labelled.jpg,for_notebook,DS1,1,116166800,358,1968,226,56
10109440_labelled.jpg,for_notebook,DS1,0,17902500,0,0,0,0
12165120_labelled.jpg,for_notebook,DS1,0,15485400,0,0,0,0
1024000_labelled.jpg,for_notebook,DS1,0,15014000,0,0,0,0
12968640_labelled.jpg,for_notebook,DS1,0,16005000,0,0,0,0
105300195_labelled.jpg,for_notebook,DS1,0,17801800,0,0,0,0
12600588_labelled.jpg,for_notebook,DS1,1,39137100,705,860,144,36
11520000_labelled.jpg,for_notebook,DS1,0,16078900,0,0,0,0
108072960_labelled.jpg,for_notebook,DS1,0,16381100,0,0,0,0
150025_labelled.jpg,for_notebook,DS1,0,105208200,0,0,0,0
10122240_labelled.jpg,for_notebook,DS1,0,37984400,0,0,0,0
3a__aa__04df82ac4bb6b13334f84f5e818f_labelled.jpg,for_notebook,DS1,0,7158800,0,0,0,0
04629_labelled.jpg,for_notebook,DS1,3,58989700,210,280,157,39
0000299_labelled.jpg,for_notebook,DS1,0,34102300,0,0,0,0
00305_labelled.jpg,for_notebook,DS1,0,34655700,0,0,0,0
01517_labelled.jpg,for_notebook,DS1,1,23071100,250,355,248,62
0000851_labelled.jpg,for_notebook,DS1,1,32111100,934,382,144,36
0003596_labelled.jpg,for_notebook,DS1,0,28134800,0,0,0,0
0001268_labelled.jpg,for_notebook,DS1,0,10660400,0,0,0,0
0006614_labelled.jpg,for_notebook,DS1,0,31969000,0,0,0,0
00696_labelled.jpg,for_notebook,DS1,0,42840000,0,0,0,0
03487_labelled.jpg,for_notebook,DS1,0,31371600,0,0,0,0
02812_labelled.jpg,for_notebook,DS1,0,8224800,0,0,0,0
0006859_labelled.jpg,for_notebook,DS1,0,13213700,0,0,0,0
0001582_labelled.jpg,for_notebook,DS1,0,37342100,0,0,0,0
00446_labelled.jpg,for_notebook,DS1,1,32343200,318,280,816,204
0000041_labelled.jpg,for_notebook,DS1,0,61070900,0,0,0,0
0000269_labelled.jpg,for_notebook,DS1,2,38785400,674,776,276,69
0000395_labelled.jpg,for_notebook,DS1,0,60930000,0,0,0,0
0000196_labelled.jpg,for_notebook,DS1,0,29269000,0,0,0,0
0001882_labelled.jpg,for_notebook,DS1,3,61797600,846,445,137,34
0001035_labelled.jpg,for_notebook,DS1,3,45730700,116,434,135,34
0000810_labelled.jpg,for_notebook,DS1,1,13763400,414,455,160,40
Abu Dhabi__13 94120__7383_labelled.jpg,for_notebook,DS1,0,40581200,0,0,0,0
0019598_labelled.jpg,for_notebook,DS1,2,66330400,1530,428,158,40
02072_labelled.jpg,for_notebook,DS1,0,65342700,0,0,0,0
00704_labelled.jpg,for_notebook,DS1,0,31686400,0,0,0,0
13617920.jpg,Kazakhstan,DS1,0,19972700,0,0,0,0
13617920_labelled.jpg,Kazakhstan,DS1,0,16487700,0,0,0,0
15206400.jpg,Kazakhstan,DS1,0,18448800,0,0,0,0
15206400_labelled.jpg,Kazakhstan,DS1,0,16195400,0,0,0,0
16066560.jpg,Kazakhstan,DS1,0,19448600,0,0,0,0
16066560_labelled.jpg,Kazakhstan,DS1,0,17717200,0,0,0,0
23726080.jpg,Kazakhstan,DS1,0,16284100,0,0,0,0
23726080_labelled.jpg,Kazakhstan,DS1,0,19014200,0,0,0,0
27340800.jpg,Kazakhstan,DS1,0,17507300,0,0,0,0
27340800_labelled.jpg,Kazakhstan,DS1,0,16656400,0,0,0,0
29866880.jpg,Kazakhstan,DS1,1,20868000,640,358,260,65
29866880_labelled.jpg,Kazakhstan,DS1,1,16913200,640,358,260,65
3194880.jpg,Kazakhstan,DS1,0,16806100,0,0,0,0
3194880_labelled.jpg,Kazakhstan,DS1,0,15824800,0,0,0,0
4531200.jpg,Kazakhstan,DS1,0,18095000,0,0,0,0
4531200_labelled.jpg,Kazakhstan,DS1,0,15714200,0,0,0,0
5468160.jpg,Kazakhstan,DS1,0,15952600,0,0,0,0
5468160_labelled.jpg,Kazakhstan,DS1,0,14864400,0,0,0,0
900900.jpg,Kazakhstan,DS1,1,16038400,769,464,160,40
900900_labelled.jpg,Kazakhstan,DS1,1,18292400,778,466,151,38
00696.jpg,Kazakhstan,DS1,0,25463000,0,0,0,0
00696_labelled.jpg,Kazakhstan,DS1,0,28698800,0,0,0,0
01261.jpg,Kazakhstan,DS1,1,40459100,733,837,249,62
01261_labelled.jpg,Kazakhstan,DS1,1,35072000,726,836,261,66
01354.jpg,Kazakhstan,DS1,1,28265000,468,538,356,89
01354_labelled.jpg,Kazakhstan,DS1,0,30684200,0,0,0,0
05527.jpg,Kazakhstan,DS1,1,22319100,519,411,243,61
05527_labelled.jpg,Kazakhstan,DS1,1,23985200,519,411,243,61
